fontstyle,italic,Bold
BvpndlCalibri,0,0
WmxvskMyriadPro-LightIt,1,0
DvqqygCalibri,0,0
TwtqnkArial-BoldMT,0,1
VssxmdArial-BoldMT,0,1
RxytctCalibri,0,0
VdnpkhCalibri,0,0
JqyfwqCalibri-Bold,0,1
HvnljtAdvPTimes,0,0
MchgvbAdvPTimesB,0,1
PqmmfmAdvNPSTim-B,0,1
GnpkgwAdvPSSym,0,0
JrlvwlAdvP4C4E74,0,0
MvlksqAdvPSSPS-AS,0,0
FkrmwhAdvSPRING-R,0,0
MrjgksAdvTir_symb,0,0
HqcbsmAdvP4C4E51,0,0
MmhsyjAdvPSMP13,0,0
KmrkdjAdvPSMP10,0,0
VdvbpfAdvPTimesI,1,0
HfcrwyAdvP4C4E59,0,0
VqcqhyPrwchpMyriadPro-Regular,0,0
LvkyqgVkpdbjMyriadPro-It,1,0
YjlhfvHslyknMyriadPro-Bold,0,1
LhggncQyxyvgMyriadPro-Light,0,0
QnwlvlHpvfwqMyriadPro-Semibold,0,1
StmntcLrgyfjWarnockPro-Regular,0,0
QmhpjhVnbbwdCalibri,0,0
LfvhttVmmjdvMyriadPro-LightIt,1,0
MtnwsnScyshgCalibri,0,0
TtfdnpTrprkwArialMT,0,0
JtbpnpTtnywjWarnockPro-It,1,0
GyymhcKlpdxxCalibri,0,0
BsjswnLdxbbqMTSY,0,0
TmbyjbStkktyCMR10,0,0
KrlwljJbnnmgCMBX10,0,1
QnmktqDwdfyjCMR10,0,0
SstbrqKjsrtfCode2000,0,0
PdkbwwJtmshhSPSMTSYBBold,0,1
YpjfkkBxhhflHelvetica,0,0
RqpwjxWdqddsHelvetica,0,0
TmbtdtDpjxtjHelvetica,0,0
NqskkhPrjbrjSTIXMath-Regular,0,0
AdvPTimesBI,0,1
AdvPSMP13,0,0
WarnockPro-It2,1,0
WarnockPro-It4,1,0
WarnockPro-Regular3,0,0
WarnockPro-It3,1,0
WarnockPro-Regular4,0,0
DvxyyyMyriadPro-Regular,0,0
NdjhlcMyriadPro-It,1,0
ThmghmMyriadPro-Bold,0,1
JjjnjxMyriadPro-Light,0,0
BwxjgyMyriadPro-Semibold,0,1
HhfmmyWarnockPro-Regular,0,0
DmjcwdSPSMTSYBBold,0,1
WlyfljWarnockPro-It,1,0
PrlvkyMTSY,0,0
RtgbkjArialMT,0,0
CnkbdfWarnockPro-Light,0,0
WgcyxmArialMT,0,0
XbkjchArialMT,0,0
RlsvprMyriadPro-LightIt,1,0
BqyjbfArialMT,0,0
SbgfktArialMT,0,0
NjxskwArialMT,0,0
VnrbwrArial-BoldMT,0,1
VwsblvArial-ItalicMT,1,0
HnmhlhAdvPTimes,0,0
PymmnxAdvPTimesB,0,1
VbqbcjAdvNPSTim-B,0,1
MtnftyAdvPSSym,0,0
MjtfdrAdvTir_symb,0,0
GxstsvAdvPSSPS-AS,0,0
SkbknlAdvP4C4E74,0,0
NsyqvvAdvPSMSAM10,0,0
TybjdjAdvPSMP13,0,0
TsklqcAdvPTimesI,1,0
YhgfgnAdvP4C4E51,0,0
PpsqjvAdvSPRING-R,0,0
JhlndqAdvPSMP4,0,0
FwcbbgAdvP4C4E46,0,0
CfsjfwAdvPSMP10,0,0
HvbbtkAdvP4C4E59,0,0
XnyyyjAdvTTe45e47d2,0,0
LkpjktAdvTT7329fd89.I,1,0
PfmqlwAdvTTaf7f9f4f.B,0,1
MplkycAdvTTb5929f4c,0,0
PqkrmlAdvTT99c4c969,0,0
HpcylkAdvTT1b53b5fb.I,1,0
XgvjplAdvTT8861b38f.I,1,0
MjjkbjAdvTT86d47313,0,0
HqkpgnAdvTT83913201.I,1,0
NpdgvnHelvetica-Bold,0,1
JslbjtHelvetica,0,0
CwywhlHelvetica-BoldOblique,0,1
YgbhswMyriadPro-SemiboldSemiCn,0,1
VcsbykSButtons,0,0
RbsyklMyriadPro-SemiCn,0,0
Arial-ItalicMT,1,0
Verdana,0,0
QpxxrvMyriadPro-Regular,0,0
HsfljgMyriadPro-It,1,0
ThdmtwMyriadPro-Bold,0,1
DchbrqMyriadPro-Light,0,0
VfkknxMyriadPro-LightIt,1,0
WghrmqMyriadPro-Semibold,0,1
NjswnxWarnockPro-Regular,0,0
MfgpbgWarnockPro-It,1,0
HcsfqrWarnockPro-It,1,0
QcsqynWarnockPro-It,1,0
YqtprgWarnockPro-It,1,0
BqsmhbMTSYN,0,0
KlpcnbWarnockPro-Regular,0,0
GlptjfCMEX10,0,0
YchmcmMTMI,0,0
BmfjgyWarnockPro-It,1,0
RljgbsWarnockPro-Regular,0,0
JpsdqbWarnockPro-It,1,0
YqtnrwMTSYN,0,0
MsmytmCMEX10,0,0
BbxkcdWarnockPro-Regular,0,0
VhfmnxWarnockPro-It,1,0
GqcptjWarnockPro-It,1,0
BtmxxnWarnockPro-It,1,0
DcldxlMTSYN,0,0
CrtpcjWarnockPro-It,1,0
QrwmkvMTSY,0,0
BrhvprMyriadPro-Semibold,0,1
